field,rows,max_abs,mean_abs,max_rel,mean_rel
end_balance,4308,1.862645149230957e-09,4.168306265507125e-12,1.0389187005318172e-14,1.0361781458396356e-17
total_principal,4308,2.0954757928848267e-09,6.039652838514376e-12,4.412596369775856e-14,9.570613439524466e-17
interest_paid,4308,6.402842700481415e-10,1.5453809695863125e-13,7.03146888471032e-14,1.6802109827757058e-17
interest_shortfall,4308,9.313225746154785e-10,3.753502368096854e-11,3.680599258212142e-14,3.9551061639903004e-17
cashflow_total,4308,2.0954757928848267e-09,6.198413287848926e-12,7.03146888471032e-14,1.0886644975473164e-16
writedown,4308,0.0,0.0,0.0,0.0
coupon_rate,4308,1.8118839761882555e-13,4.236784244391266e-17,7.031110337695702e-14,1.640035061779412e-17
