field,rows,max_abs,mean_abs,max_rel,mean_rel
end_balance,3231,5.820766091346741e-11,6.449502509136903e-12,1.1535372880462562e-16,1.2781378802864735e-17
total_principal,3231,5.820766091346741e-11,2.3011820448757932e-14,3.680118841641861e-16,8.77782650890747e-19
interest_paid,3231,1.8189894035458565e-12,5.719045375518132e-14,3.728167879376392e-15,2.821154599858638e-17
interest_shortfall,3231,3.637978807091713e-12,1.8578350454043102e-14,2.4109507413976313e-15,2.885034553239302e-18
cashflow_total,3231,5.820766091346741e-11,8.027264674353792e-14,3.728167879376392e-15,2.850627713283626e-17
writedown,3231,5.820766091346741e-11,1.8015370137253917e-14,1.1535372880462562e-16,3.5702175426996477e-20
coupon_rate,3231,1.3877787807814457e-15,8.418589942221088e-19,1.3877787807814457e-15,5.539613998565104e-19
